nome_cliente,avaliacao,comentario,canal,data_feedback
Alexandre Moreira,3,Assumenda impedit alias expedita ratione cupiditate dolorum veniam nisi.,E-mail,2025-04-14 10:01:02
Natália Azevedo,2,Asperiores culpa voluptate quos sit esse fugiat maxime voluptate a in eligendi quisquam repudiandae.,E-mail,2025-01-11 02:33:15
Marcela Gonçalves,1,Eos molestias assumenda qui ipsam nulla sequi molestias nemo.,E-mail,2025-03-16 04:27:28
Sr. Rodrigo da Conceição,4,Hic fugit recusandae quis fugit nobis accusamus voluptatibus accusantium voluptatem nam quo possimus.,WhatsApp,2025-01-06 16:33:21
Kaique da Conceição,5,Nostrum mollitia aperiam mollitia minus ipsa quis cumque voluptate.,WhatsApp,2025-05-15 14:43:26
Sabrina Pires,1,Impedit perferendis omnis quidem itaque amet ullam neque deserunt culpa cumque rerum alias.,E-mail,2025-01-04 02:13:33
Alana Carvalho,4,Ipsa incidunt distinctio alias reprehenderit rem praesentium.,App,2025-05-01 08:05:01
Dra. Agatha da Costa,4,Enim ipsa iusto optio architecto modi maxime voluptas doloribus.,App,2025-03-09 13:12:05
Lívia Ferreira,4,Reiciendis officia facilis veniam fugit id ipsa.,WhatsApp,2025-02-18 21:17:31
Pietro Costa,2,Nulla accusamus cum sequi sit molestias ullam dignissimos ea sed magni ducimus ullam consectetur.,WhatsApp,2025-02-21 21:49:01
Juan Nogueira,2,Recusandae quam aut recusandae esse voluptas blanditiis sit iusto sunt.,App,2025-05-05 08:03:11
Nathan Santos,2,Eos quia quod recusandae quis dignissimos impedit iusto perspiciatis quae quasi.,Telefone,2025-02-19 22:45:44
Isabelly das Neves,5,Nihil facilis rerum tempore amet aliquam repellat odio aperiam.,App,2025-04-08 22:34:20
Lucca Caldeira,4,Velit debitis vero a temporibus quam culpa distinctio dolore deleniti sequi dolore occaecati praesentium illum ratione.,WhatsApp,2025-02-16 14:44:57
Luiz Otávio Teixeira,4,Labore animi alias temporibus nisi dolores maiores ratione exercitationem tempora fuga rerum reprehenderit.,WhatsApp,2025-03-18 19:57:05
Nicolas Campos,4,Voluptates impedit porro labore totam totam facilis.,E-mail,2025-03-11 18:10:28
Maria Sophia Moraes,3,Commodi quas a aliquam quam aspernatur provident delectus culpa ab minus.,App,2025-01-24 16:06:42
Maria Clara Castro,5,Ipsum aliquid vero recusandae sint voluptates suscipit quas suscipit exercitationem explicabo dolorum cumque.,App,2025-05-02 12:34:52
Henrique Rocha,1,Odit recusandae ratione blanditiis aliquid numquam eum consequuntur fugit.,E-mail,2025-01-25 11:27:32
Marcos Vinicius Araújo,3,Nulla doloremque quisquam debitis nobis dolor quo laboriosam iste ratione.,WhatsApp,2025-02-01 07:52:13
Otávio Costa,1,Ipsam esse consectetur amet facilis aut ex molestiae cupiditate vero qui asperiores.,Telefone,2025-04-10 08:36:54
Cecília Lima,2,Minima pariatur et necessitatibus voluptates ipsam debitis eveniet natus quasi quis.,Telefone,2025-03-22 20:43:25
Otávio Freitas,5,Magnam suscipit sed a animi quam mollitia exercitationem.,App,2025-01-12 17:16:45
Ana Júlia Monteiro,3,Nisi repellat ipsa assumenda dolore aut aspernatur tempore molestias id porro.,Telefone,2025-01-28 10:27:29
Carlos Eduardo da Conceição,2,Magnam illo ab tempore dignissimos accusantium laudantium eius.,WhatsApp,2025-04-07 06:37:07
Caroline Peixoto,2,Nostrum minima maiores eius alias minus architecto repellendus consequuntur.,WhatsApp,2025-01-13 03:02:08
Nathan Caldeira,5,Ducimus at voluptatibus cumque adipisci mollitia iure perferendis iure quam.,E-mail,2025-04-12 04:26:19
Catarina das Neves,1,Iste totam fugit voluptate ab tempora modi sapiente perspiciatis omnis distinctio fugiat nihil atque repellat possimus.,Telefone,2025-01-29 18:00:59
Dr. Luiz Miguel Viana,2,Corrupti aut veniam autem est iure deleniti ad ad omnis officia libero.,Telefone,2025-01-26 18:35:13
Isabella Costela,4,Non sint cumque sunt aliquid tempore atque.,Telefone,2025-02-24 09:12:29
Cecília Fogaça,5,Possimus veniam recusandae quia voluptatum perspiciatis possimus repellendus omnis corporis sint sit alias harum facilis.,App,2025-01-18 00:54:25
Dr. Ian Silveira,4,Maiores nihil doloribus aliquam itaque ducimus quae.,WhatsApp,2025-04-29 04:29:58
Renan Monteiro,5,Velit rem cupiditate laboriosam quam eos ducimus qui fugiat quas suscipit quidem adipisci distinctio repellendus.,App,2025-01-31 22:45:25
João Miguel Nascimento,3,Architecto a nemo distinctio quo voluptatibus in doloribus excepturi nobis placeat nobis fuga voluptates dolorem.,Telefone,2025-04-27 07:52:00
Sra. Valentina Porto,4,Enim laboriosam corporis beatae aliquam eos ut corporis quia rerum a eius eos consequuntur.,App,2025-01-19 19:52:44
Giovanna Alves,5,Deleniti facere voluptas eos deleniti ut cumque consequuntur molestias tenetur magnam autem dolorum.,App,2025-01-13 00:19:27
Sr. Benjamin Castro,5,Placeat corrupti laborum nihil provident sed sequi rem ipsam qui debitis iusto cum molestias possimus.,App,2025-01-03 05:48:44
Valentina Monteiro,4,Illum in necessitatibus veritatis commodi perferendis cumque quibusdam ipsum minus aliquid modi distinctio corporis quasi.,App,2025-01-11 16:40:45
Guilherme Cardoso,5,Nemo occaecati a laborum laboriosam minima sint rerum corporis eos doloribus accusantium voluptates.,E-mail,2025-04-03 01:35:09
Enrico Pinto,4,Ea optio voluptatibus deserunt perspiciatis quae hic nobis optio asperiores consequatur ducimus in nemo.,Telefone,2025-03-10 08:22:28
Maria da Mota,4,Unde aliquam possimus numquam necessitatibus sequi consectetur a natus.,Telefone,2025-01-17 22:17:10
Enrico Cunha,1,Ad fuga aliquid expedita aut cum omnis libero qui quisquam voluptatem inventore ex aperiam nulla repellendus.,WhatsApp,2025-05-14 12:53:31
Sra. Letícia Cavalcanti,1,Modi aperiam necessitatibus dignissimos iste nihil magni maxime alias facere ab.,App,2025-01-05 08:23:57
Sr. Thales Lima,1,Doloremque repudiandae officiis sunt iusto deleniti officia labore eligendi blanditiis officia repudiandae voluptas rem.,E-mail,2025-01-02 10:12:16
Nathan da Rocha,3,Reiciendis eaque repudiandae officiis impedit magnam nam dolorem explicabo.,WhatsApp,2025-02-18 06:13:45
Juan Pereira,5,Harum autem eveniet labore cumque odio quidem nesciunt at vero optio voluptate nihil consectetur harum.,WhatsApp,2025-02-04 13:07:51
Ana Sophia da Paz,1,Deleniti corporis praesentium ea consectetur culpa ratione numquam pariatur officiis quis a laborum.,E-mail,2025-04-08 16:50:16
Alexandre Jesus,3,Cupiditate harum quo accusamus voluptates nihil debitis cupiditate repellendus assumenda voluptatum impedit.,App,2025-04-04 08:28:44
Joana Novaes,3,Earum officiis ducimus architecto expedita commodi perspiciatis occaecati laborum eum fuga voluptates placeat.,E-mail,2025-02-23 22:22:20
Noah Souza,1,Adipisci unde officiis repellat soluta id itaque.,App,2025-03-05 04:26:35
Sr. Theo Castro,4,Omnis voluptas officia culpa voluptas culpa nam numquam ratione nam tempora minus quis molestias.,App,2025-03-01 16:47:11
Alexandre da Cunha,2,Adipisci sequi dolorem explicabo qui tempore officia quia officia officiis consequuntur veritatis.,WhatsApp,2025-03-17 00:34:08
Caio Moura,1,Blanditiis corporis magni ea dolores accusantium similique expedita atque a.,App,2025-04-19 16:49:00
Laura Teixeira,5,Et aliquid minima non excepturi omnis accusantium.,WhatsApp,2025-01-04 03:50:57
