nome_usuario,pedido,categoria,preco,meio_pedido,data_pedido,restaurante
Heitor Rezende,Sushi 3,Sushi,20.31,App,2025-05-08 09:19:39,Marmitaria Boa Vida
Sr. Kaique Vieira,Sushi 4,Sushi,93.85,App,2025-05-03 20:54:25,Cantina do Chef
Vitor Gabriel Rodrigues,Salada 5,Salada,87.49,App,2025-04-03 22:29:36,Marmitaria Boa Vida
Lucca Moreira,Pizza 5,Pizza,36.94,Loja física,2025-05-08 09:54:52,Pizza Express
Stephany Duarte,Pizza 5,Pizza,60.63,Site,2025-05-08 00:09:47,Pizza Express
Maria Vitória Porto,Salada 5,Salada,20.49,Loja física,2025-04-17 00:08:04,Temaki Brasil
Alexandre da Costa,Pizza 2,Pizza,70.93,Telefone,2025-01-16 21:04:13,Burger Mania
Vicente Souza,Salada 2,Salada,39.81,Telefone,2025-04-17 09:48:01,Marmitaria Boa Vida
Juliana Farias,Salada 4,Salada,62.25,Loja física,2025-04-11 08:17:25,Pizza Express
Elisa Santos,Pizza 5,Pizza,46.73,Telefone,2025-04-21 22:36:32,Temaki Brasil
Cauã Rezende,Marmita 1,Marmita,18.92,Telefone,2025-04-26 16:48:26,Cantina do Chef
Dra. Emanuella Santos,Salada 4,Salada,112.72,Loja física,2025-03-16 20:50:17,Pizza Express
Isabel Moreira,Pizza 4,Pizza,111.16,Telefone,2025-05-08 18:48:56,Cantina do Chef
Alícia Cavalcanti,Doce 1,Doce,54.63,App,2025-04-30 15:08:55,Marmitaria Boa Vida
Alexandre Farias,Pizza 5,Pizza,89.25,Telefone,2025-04-20 20:24:40,Marmitaria Boa Vida
Lívia da Costa,Marmita 5,Marmita,37.31,Site,2025-01-16 03:53:22,Marmitaria Boa Vida
Igor Souza,Marmita 2,Marmita,114.33,App,2025-02-28 01:49:40,Marmitaria Boa Vida
Ana Vitória Jesus,Doce 1,Doce,79.38,App,2025-01-02 02:25:42,Cantina do Chef
Augusto Moraes,Hamburguer 2,Hamburguer,86.57,App,2025-02-05 22:39:22,Sabor Caseiro
Arthur Aragão,Pizza 3,Pizza,107.86,Site,2025-04-19 23:53:00,Burger Mania
Arthur Silva,Doce 5,Doce,119.42,Loja física,2025-02-07 06:11:56,Sabor Caseiro
Ana Vitória Moraes,Sushi 5,Sushi,57.92,Telefone,2025-03-26 19:26:38,Burger Mania
Enzo Gabriel Pinto,Hamburguer 3,Hamburguer,20.43,App,2025-02-20 09:22:36,Cantina do Chef
Eloah Vieira,Pizza 5,Pizza,85.69,Telefone,2025-01-28 02:37:43,Sabor Caseiro
Nathan Fernandes,Hamburguer 4,Hamburguer,26.04,Site,2025-03-29 04:15:19,Temaki Brasil
Agatha Gomes,Doce 4,Doce,44.0,Telefone,2025-05-01 12:39:18,Sabor Caseiro
Matheus Farias,Sushi 2,Sushi,23.0,Telefone,2025-01-02 10:26:49,Pizza Express
Maria Clara Freitas,Sushi 2,Sushi,92.51,Site,2025-03-24 22:22:58,Temaki Brasil
Bárbara Fogaça,Pizza 1,Pizza,95.78,App,2025-04-08 21:52:37,Sabor Caseiro
Caio Pires,Salada 5,Salada,110.84,Telefone,2025-04-08 06:44:37,Marmitaria Boa Vida
Fernanda Silva,Salada 3,Salada,109.59,Telefone,2025-04-06 06:49:23,Temaki Brasil
Melissa Moreira,Doce 3,Doce,81.47,Site,2025-03-10 22:57:58,Marmitaria Boa Vida
Elisa Viana,Doce 3,Doce,82.83,App,2025-01-01 03:13:07,Sabor Caseiro
Gabriela Costela,Doce 2,Doce,97.06,Loja física,2025-05-04 17:45:04,Cantina do Chef
Sra. Ana Monteiro,Sushi 1,Sushi,73.85,Loja física,2025-05-11 12:29:57,Temaki Brasil
Gabriela Monteiro,Hamburguer 1,Hamburguer,21.44,Site,2025-01-07 17:02:57,Burger Mania
Raul Viana,Pizza 5,Pizza,110.22,App,2025-01-15 01:42:45,Sabor Caseiro
Alana Castro,Hamburguer 5,Hamburguer,44.78,Site,2025-04-19 03:54:34,Temaki Brasil
Dra. Eloah Nascimento,Doce 1,Doce,97.68,Telefone,2025-01-27 10:29:24,Cantina do Chef
Dr. Paulo Dias,Doce 3,Doce,27.61,App,2025-02-01 11:29:47,Burger Mania
Eloah Carvalho,Hamburguer 5,Hamburguer,52.68,Site,2025-01-11 13:53:41,Burger Mania
Benjamin Sales,Sushi 4,Sushi,50.08,Telefone,2025-04-29 22:28:15,Pizza Express
Caio Oliveira,Salada 2,Salada,17.62,Site,2025-05-12 15:16:40,Pizza Express
Dra. Raquel Castro,Salada 5,Salada,65.1,Site,2025-04-24 14:46:10,Marmitaria Boa Vida
Srta. Kamilly Costela,Salada 3,Salada,77.02,Loja física,2025-01-30 03:05:04,Temaki Brasil
Maysa Costa,Sushi 3,Sushi,67.12,App,2025-01-28 18:17:41,Temaki Brasil
