nome_cliente,topico,mensagem,data_criacao,status
Bryan Mendes,Atraso na entrega,Officia architecto facere eaque in ipsum repellendus earum temporibus magni.,2025-02-17 09:43:55,Resolvido
Carlos Eduardo Lima,Outro,Aliquam eum quisquam iusto saepe rerum cumque ex laudantium.,2025-01-02 04:27:50,Em análise
Ryan Martins,Outro,Porro quod soluta ipsa quia officia dignissimos.,2025-02-19 17:48:17,Em análise
Dra. Olivia Costela,Atraso na entrega,Et aspernatur quibusdam expedita aperiam dignissimos nemo earum magni saepe modi eveniet.,2025-05-02 07:32:51,Pendente
Gabriel da Rocha,Problema no pedido,Voluptatibus delectus et unde iste doloremque nemo officiis facilis illo perferendis.,2025-04-05 19:47:59,Resolvido
Bruna Porto,Erro no app,Modi dolorum deleniti possimus nesciunt architecto tenetur itaque ipsa fuga doloremque eius.,2025-04-12 02:32:26,Em análise
Samuel Vieira,Atraso na entrega,Similique blanditiis ex exercitationem est molestias hic magnam similique temporibus neque.,2025-04-13 17:25:06,Em análise
Bianca Lima,Cobrança indevida,Est molestiae blanditiis fugiat voluptas recusandae itaque voluptate harum.,2025-01-16 08:03:07,Resolvido
Maysa Santos,Erro no app,Accusantium nostrum officia sint sint occaecati veritatis quo.,2025-01-21 02:19:30,Em análise
Davi Lucca Fogaça,Problema no pedido,Omnis eveniet esse aperiam ipsum ipsam vitae dolore tempora hic perferendis.,2025-02-24 14:24:59,Resolvido
Alexia da Conceição,Erro no app,Sed tenetur sequi sed eaque odio.,2025-05-09 19:06:58,Em análise
Alexia Duarte,Problema no pedido,Recusandae eius possimus hic laudantium dolor harum sed.,2025-01-20 11:00:43,Pendente
Ana Vitória Melo,Atraso na entrega,Recusandae atque et itaque porro itaque.,2025-03-22 21:03:50,Em análise
Maria Julia Correia,Erro no app,Voluptates odit perferendis ipsam maiores quia consequatur.,2025-02-05 07:19:13,Em análise
Sra. Joana Barbosa,Atraso na entrega,Ratione saepe soluta necessitatibus occaecati vitae eaque minus ab officiis nihil.,2025-04-01 17:05:39,Resolvido
Davi Lucas Almeida,Erro no app,Est beatae aliquam id debitis tenetur id quas.,2025-01-25 00:49:11,Resolvido
João Vitor Silva,Problema no pedido,Tempora accusamus reprehenderit incidunt dolores neque ut fugit minima deserunt saepe aperiam.,2025-04-26 07:38:33,Em análise
